cvegeo,vivtot,tvivhab,p_tvivhab,tvivpar,p_tvivpar,tvivparhab,pvivparhab,vivpar_des,p_vivpar_d,vivpar_ut,p_vivpar_u,vivnohab,p_vivnohab,vph_pisodt,p_v_pisodt,vph_c_elec,p_v_c_elec,vph_aguadv,p_v_aguadv,vph_drenaj,p_v_drenaj,vph_excusa,p_v_excusa,v_3masocup,p_3masocup,proocup_c,pobtot,p0a14a,pp0a14a,p15a29a,pp15a29a,p30a59a,pp30a59a,p_60ymas,pp_60ymas,pcon_lim,ppcon_lim,graproes,acesoper_,acesoaut_,recucall_,senaliza_,alumpub_,telpub_,banqueta_,guarnici_,arboles_,rampas_,puessemi_,puesambu_,acesoper_c,acesoaut_c,recucall_c,senaliza_c,alumpub_c,telpub_c,banqueta_c,guarnici_c,arboles_c,rampas_c,puessemi_c,puesambu_c,ent,nom_ent,mun,nom_mun,loc,nom_loc,ageb,mza,fecha_poli,fecha_inf,fecha_ceu,oid
"0901500010042014",49.000000000000000,43.000000000000000,87.760000000000005,49.000000000000000,100.000000000000000,43.000000000000000,87.760000000000005,6.000000000000000,12.240000000000000,0.000000000000000,0.000000000000000,6.000000000000000,12.240000000000000,43.000000000000000,100.000000000000000,43.000000000000000,100.000000000000000,43.000000000000000,100.000000000000000,43.000000000000000,100.000000000000000,43.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,2.600000000000000,110.000000000000000,20.000000000000000,18.180000000000000,22.000000000000000,20.000000000000000,59.000000000000000,53.640000000000001,9.000000000000000,8.180000000000000,4.000000000000000,4.000000000000000,10.400000000000000,3.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","014","2010","2010","2010","55622"
"0901500010042015",9.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,,,4.670000000000000,42.000000000000000,18.000000000000000,42.859999999999999,12.000000000000000,28.570000000000000,11.000000000000000,26.190000000000001,,,,,8.080000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en alguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","015","2010","2015","2010","55623"
"0901500010042016",11.000000000000000,9.000000000000000,81.819999999999993,11.000000000000000,100.000000000000000,9.000000000000000,81.819999999999993,,,0.000000000000000,0.000000000000000,,,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,9.000000000000000,100.000000000000000,,,4.000000000000000,36.000000000000000,8.000000000000000,22.219999999999999,16.000000000000000,44.439999999999998,11.000000000000000,30.559999999999999,,,,,10.859999999999999,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","016","2010","2015","2010","55624"
"0901500010042017",20.000000000000000,15.000000000000000,75.000000000000000,20.000000000000000,100.000000000000000,15.000000000000000,75.000000000000000,5.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,25.000000000000000,14.000000000000000,93.329999999999998,14.000000000000000,93.329999999999998,14.000000000000000,93.329999999999998,14.000000000000000,93.329999999999998,14.000000000000000,93.329999999999998,0.000000000000000,0.000000000000000,2.700000000000000,44.000000000000000,9.000000000000000,20.449999999999999,9.000000000000000,20.449999999999999,19.000000000000000,43.180000000000000,4.000000000000000,9.090000000000000,,,10.300000000000001,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","017","2010","2010","2010","55625"
"0901500010042018",10.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.000000000000000,90.000000000000000,9.000000000000000,90.000000000000000,9.000000000000000,90.000000000000000,9.000000000000000,90.000000000000000,9.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,3.700000000000000,40.000000000000000,9.000000000000000,22.500000000000000,15.000000000000000,37.500000000000000,11.000000000000000,27.500000000000000,,,,,9.100000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","018","2010","2010","2010","55626"
"0901500010042019",20.000000000000000,20.000000000000000,100.000000000000000,20.000000000000000,100.000000000000000,20.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,90.000000000000000,19.000000000000000,95.000000000000000,18.000000000000000,90.000000000000000,18.000000000000000,90.000000000000000,19.000000000000000,95.000000000000000,,,3.500000000000000,72.000000000000000,15.000000000000000,20.829999999999998,24.000000000000000,33.329999999999998,27.000000000000000,37.500000000000000,3.000000000000000,4.170000000000000,,,8.199999999999999,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","019","2010","2010","2010","55627"
"0901500010042020",15.000000000000000,14.000000000000000,93.329999999999998,15.000000000000000,100.000000000000000,14.000000000000000,93.329999999999998,,,0.000000000000000,0.000000000000000,,,13.000000000000000,92.859999999999999,13.000000000000000,92.859999999999999,13.000000000000000,92.859999999999999,13.000000000000000,92.859999999999999,13.000000000000000,92.859999999999999,3.000000000000000,21.430000000000000,4.300000000000000,63.000000000000000,13.000000000000000,20.629999999999999,23.000000000000000,36.509999999999998,22.000000000000000,34.920000000000002,,,,,7.800000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","020","2010","2010","2010","55628"
"0901500010042021",10.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,10.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,3.600000000000000,36.000000000000000,12.000000000000000,33.329999999999998,10.000000000000000,27.780000000000001,12.000000000000000,33.329999999999998,,,,,7.800000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","021","2010","2010","2010","55629"
"0901500010042022",40.000000000000000,33.000000000000000,82.500000000000000,40.000000000000000,100.000000000000000,33.000000000000000,82.500000000000000,6.000000000000000,15.000000000000000,,,7.000000000000000,17.500000000000000,28.000000000000000,84.849999999999994,31.000000000000000,93.939999999999998,31.000000000000000,93.939999999999998,31.000000000000000,93.939999999999998,31.000000000000000,93.939999999999998,,,3.000000000000000,106.000000000000000,27.000000000000000,25.469999999999999,30.000000000000000,28.300000000000001,43.000000000000000,40.570000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.199999999999999,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","022","2010","2010","2010","55630"
"0901500010042023",115.000000000000000,107.000000000000000,93.040000000000006,115.000000000000000,100.000000000000000,107.000000000000000,93.040000000000006,8.000000000000000,6.960000000000000,0.000000000000000,0.000000000000000,8.000000000000000,6.960000000000000,104.000000000000000,97.200000000000003,105.000000000000000,98.129999999999995,105.000000000000000,98.129999999999995,105.000000000000000,98.129999999999995,105.000000000000000,98.129999999999995,,,3.400000000000000,372.000000000000000,79.000000000000000,21.239999999999998,101.000000000000000,27.149999999999999,153.000000000000000,41.130000000000003,33.000000000000000,8.869999999999999,,,10.800000000000001,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,Conjunto habitacional,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","023","2010","2010","2010","55631"
